,0
134,https://www.tripadvisor.com/Restaurant_Review-g189473-d10109480-Reviews-Kazaviti_Restaurant_Thessaloniki-Thessaloniki_Thessaloniki_Region_Central_Macedo.html
135,https://www.tripadvisor.com/Restaurant_Review-g189473-d7119722-Reviews-Mia_Feta_Feta_bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
136,https://www.tripadvisor.com/Restaurant_Review-g189473-d7119779-Reviews-Navona-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
137,https://www.tripadvisor.com/Restaurant_Review-g189473-d8126541-Reviews-BizBize-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
138,https://www.tripadvisor.com/Restaurant_Review-g189473-d23450258-Reviews-Brunchsin-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
139,https://www.tripadvisor.com/Restaurant_Review-g189473-d905458-Reviews-Local_Thessaloniki-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
140,https://www.tripadvisor.com/Restaurant_Review-g189473-d815168-Reviews-Garcon-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
141,https://www.tripadvisor.com/Restaurant_Review-g189473-d12815162-Reviews-Elephant_In_The_Room-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
142,https://www.tripadvisor.com/Restaurant_Review-g189473-d12447143-Reviews-Cosmopolitan-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
143,https://www.tripadvisor.com/Restaurant_Review-g189473-d14526749-Reviews-Gaia_s_Den-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
144,https://www.tripadvisor.com/Restaurant_Review-g189473-d2573279-Reviews-Pire_kai_Vradiazi-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
145,https://www.tripadvisor.com/Restaurant_Review-g189473-d9710370-Reviews-Cafe_Palermo-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
146,https://www.tripadvisor.com/Restaurant_Review-g189473-d9819563-Reviews-Ballaro-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
147,https://www.tripadvisor.com/Restaurant_Review-g189473-d20034718-Reviews-Chirofreno-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
148,https://www.tripadvisor.com/Restaurant_Review-g189473-d6651930-Reviews-Mezedolatria-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
149,https://www.tripadvisor.com/Restaurant_Review-g189473-d17323122-Reviews-Beyond_The_Walls-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
150,https://www.tripadvisor.com/Restaurant_Review-g189473-d11750334-Reviews-Marea_Sea_Spirit-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
151,https://www.tripadvisor.com/Restaurant_Review-g189473-d10113787-Reviews-Sherlock_Bar_SKG-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
152,https://www.tripadvisor.com/Restaurant_Review-g189473-d9807438-Reviews-Falafel_House-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
153,https://www.tripadvisor.com/Restaurant_Review-g189473-d4884554-Reviews-Tribeca-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
154,https://www.tripadvisor.com/Restaurant_Review-g189473-d18980933-Reviews-Mangiare_Gastro_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
155,https://www.tripadvisor.com/Restaurant_Review-g189473-d11851243-Reviews-Koi_Sushi_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
156,https://www.tripadvisor.com/Restaurant_Review-g189473-d23450258-Reviews-Brunchsin-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
157,https://www.tripadvisor.com/Restaurant_Review-g189473-d8858618-Reviews-Blackberry-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
158,https://www.tripadvisor.com/Restaurant_Review-g189473-d3559454-Reviews-Katsamaka-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
159,https://www.tripadvisor.com/Restaurant_Review-g189473-d11865909-Reviews-Fraoula_Koozina_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
160,https://www.tripadvisor.com/Restaurant_Review-g189473-d3246920-Reviews-Agioli-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
161,https://www.tripadvisor.com/Restaurant_Review-g189473-d3983002-Reviews-Sofis_House-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
162,https://www.tripadvisor.com/Restaurant_Review-g189473-d5568147-Reviews-Thermaikos_Fish_Tavern-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
163,https://www.tripadvisor.com/Restaurant_Review-g189473-d4050910-Reviews-Takadum-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
164,https://www.tripadvisor.com/Restaurant_Review-g189473-d2194008-Reviews-I_Gonia_tou_Merakli-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
165,https://www.tripadvisor.com/Restaurant_Review-g189473-d3741457-Reviews-Canteen-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
166,https://www.tripadvisor.com/Restaurant_Review-g189473-d8067764-Reviews-Beer_O_Clock-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
167,https://www.tripadvisor.com/Restaurant_Review-g189473-d3577032-Reviews-Clochard-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
168,https://www.tripadvisor.com/Restaurant_Review-g189473-d9712758-Reviews-Anoteron-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
169,https://www.tripadvisor.com/Restaurant_Review-g189473-d9583079-Reviews-Vlasti-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
170,https://www.tripadvisor.com/Restaurant_Review-g189473-d9722799-Reviews-Sto_Apeiro_Ki_Akoma_Parapera-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
171,https://www.tripadvisor.com/Restaurant_Review-g189473-d7258292-Reviews-To_Spiti_Tis_Giagias-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
172,https://www.tripadvisor.com/Restaurant_Review-g189473-d3500714-Reviews-Ouzeri_Tsinari-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
173,https://www.tripadvisor.com/Restaurant_Review-g189473-d8323091-Reviews-To_Kritiko_Kafeneio-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
174,https://www.tripadvisor.com/Restaurant_Review-g189473-d15595479-Reviews-O_Dounias-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
175,https://www.tripadvisor.com/Restaurant_Review-g189473-d12415281-Reviews-Brizola-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
176,https://www.tripadvisor.com/Restaurant_Review-g189473-d6985094-Reviews-Balkonaki-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
177,https://www.tripadvisor.com/Restaurant_Review-g189473-d7893383-Reviews-Pepper-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
178,https://www.tripadvisor.com/Restaurant_Review-g189473-d15078050-Reviews-Manoir-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
179,https://www.tripadvisor.com/Restaurant_Review-g189473-d15030682-Reviews-50_50-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
